h21deg3p3	3.38998	4.79006
h21deg3p3	3.42242	4.8359
h21deg3p3	3.45486	4.88174
h21deg3p3	3.4873	4.92758
h21deg3p3	3.51974	4.97341
h21deg3p3	3.55218	5.01925
h21deg3p3	3.58462	5.06509
h21deg3p3	3.61706	5.11093
h21deg3p3	3.6495	5.15677
h21deg3p3	3.68194	5.2026
h21deg3p3	3.71438	5.24844
h21deg3p3	3.74682	5.29428
h21deg3p3	3.77926	5.34012
h21deg3p3	3.8117	5.38596
h21deg3p3	3.84414	5.43179
h21deg3p3	3.87658	5.47763
h21deg3p3	3.90902	5.52347
h21deg3p3	3.94146	5.56931
h21deg4p0	3.55846	5.02813
h21deg4p0	3.59778	5.08369
h21deg4p0	3.6371	5.13924
h21deg4p0	3.67642	5.1948
h21deg4p0	3.71574	5.25036
h21deg4p0	3.75506	5.30592
h21deg4p0	3.79438	5.36148
h21deg4p0	3.8337	5.41704
h21deg4p0	3.87302	5.4726
h21deg4p0	3.91234	5.52816
h21deg4p0	3.95166	5.58372
h21deg4p0	3.99098	5.63928
h21deg4p0	4.0303	5.69484
h21deg4p0	4.06962	5.7504
h21deg4p0	4.10894	5.80596
h21deg4p0	4.14826	5.86152
h21deg4p0	4.18758	5.91708
h21deg4p0	4.2269	5.97264
h21deg4p0	4.26622	6.0282
h21deg4p0	4.30554	6.08375
h21deg4p0	4.34486	6.13931
h21deg4p0	4.38418	6.19487
h21deg4p0	4.4235	6.25043
h21deg4p0	4.46282	6.30599
h21deg4p0	4.50214	6.36155
h21deg4p0	4.54146	6.41711
h21deg4p0	4.58078	6.47267
h21deg4p0	4.6201	6.52823
h21deg4p0	4.65942	6.58379
h21deg4p0	4.69874	6.63935
h21deg4p0	4.73806	6.69491
h21deg4p0	4.77738	6.75047
h21deg5p1	4.53677	6.41048
h21deg5p1	4.58689	6.48131
h21deg5p1	4.63702	6.55214
h21deg5p1	4.68716	6.62298
h21deg5p1	4.73729	6.69381
h21deg5p1	4.78742	6.76465
h21deg5p1	4.83754	6.83548
h21deg5p1	4.88768	6.90632
h21deg5p1	4.93781	6.97715
h21deg5p1	4.98794	7.04798
h21deg5p1	5.03806	7.11882
h21deg5p1	5.08819	7.18965
h21deg5p1	5.13832	7.26048
h21deg5p1	5.18845	7.33132
h21deg5p1	5.23858	7.40215
h21deg5p1	5.28871	7.47299
h21deg5p1	5.33885	7.54382
h21deg5p1	5.38898	7.61466
h21deg5p1	5.43911	7.68549
h21deg5p1	5.48923	7.75632
h21deg5p1	5.53937	7.82716
h21deg5p1	5.5895	7.89799
h21deg5p1	5.63963	7.96883
h21deg5p1	5.68975	8.03966
h21deg5p1	5.73988	8.11049
h21deg5p1	5.79001	8.18133
h21deg5p1	5.84014	8.25216
h21deg2p7	2.40187	3.39386
h21deg2p7	2.42841	3.43136
h21deg2p7	2.45495	3.46886
h21deg2p7	2.48149	3.50636
h21deg2p7	2.50803	3.54386
h21deg2p7	2.53457	3.58136
h21deg2p7	2.56111	3.61886
h21deg2p7	2.58765	3.65637
h21deg2p7	2.61419	3.69387
h21deg2p7	2.64073	3.73137
h21deg2p7	2.66727	3.76887
h21deg2p7	2.69381	3.80637
h21deg2p7	2.72035	3.84387
h21deg2p7	2.74689	3.88137
h21deg2p7	2.77343	3.91887
h21deg2p7	2.79997	3.95637
h21deg2p7	2.82651	3.99388
h21deg2p7	2.85305	4.03138
h21deg2p7	2.87959	4.06888
h21deg2p7	2.90613	4.10638
h21deg2p7	2.93267	4.14388
h21deg2p7	2.95921	4.18138
h21deg2p7	2.98575	4.21888
h21deg2p7	3.01229	4.25638
h21deg2p7	3.03883	4.29389
h21deg2p7	3.06537	4.33139
h21deg2p7	3.09191	4.36889
h21deg2p7	3.11845	4.40639
h21deg2p7	3.14499	4.44389
h21deg2p7	3.17153	4.48139
h21deg2p7	3.19807	4.51889
h21deg2p7	3.22461	4.55639
h21deg3p3	2.93582	4.14833
h21deg3p3	2.96826	4.19417
h21deg3p3	3.0007	4.24001
h21deg3p3	3.03314	4.28585
h21deg3p3	3.06558	4.33168
h21deg3p3	3.09802	4.37752
h21deg3p3	3.13046	4.42336
h21deg3p3	3.1629	4.4692
h21deg3p3	3.19534	4.51504
h21deg3p3	3.22778	4.56087
h21deg3p3	3.26022	4.60671
h21deg3p3	3.29266	4.65255
h21deg3p3	3.3251	4.69839
h21deg3p3	3.35754	4.74422
h21deg3p3	3.38998	4.79006
h21deg3p3	3.42242	4.8359
h21deg3p3	3.45486	4.88174
h21deg3p3	3.4873	4.92758
h21deg3p3	3.51974	4.97341
h21deg3p3	3.55218	5.01925
h21deg3p3	3.58462	5.06509
h21deg3p3	3.61706	5.11093
h21deg3p3	3.6495	5.15677
h21deg3p3	3.68194	5.2026
h21deg3p3	3.71438	5.24844
h21deg3p3	3.74682	5.29428
h21deg3p3	3.77926	5.34012
h21deg3p3	3.8117	5.38596
h21deg3p3	3.84414	5.43179
h21deg3p3	3.87658	5.47763
h21deg3p3	3.90902	5.52347
h21deg3p3	3.94146	5.56931
h21deg4p0	3.55846	5.02813
h21deg4p0	3.59778	5.08369
h21deg4p0	3.6371	5.13924
h21deg4p0	3.67642	5.1948
h21deg4p0	3.71574	5.25036
h21deg4p0	3.75506	5.30592
h21deg4p0	3.79438	5.36148
h21deg4p0	3.8337	5.41704
h21deg4p0	3.87302	5.4726
h21deg4p0	3.91234	5.52816
h21deg4p0	3.95166	5.58372
h21deg4p0	3.99098	5.63928
h21deg4p0	4.0303	5.69484
h21deg4p0	4.06962	5.7504
h21deg4p0	4.10894	5.80596
h21deg4p0	4.14826	5.86152
h21deg4p0	4.18758	5.91708
h21deg4p0	4.2269	5.97264
h21deg4p0	4.26622	6.0282
h21deg4p0	4.30554	6.08375
h21deg4p0	4.34486	6.13931
h21deg4p0	4.38418	6.19487
h21deg4p0	4.4235	6.25043
h21deg4p0	4.46282	6.30599
h21deg4p0	4.50214	6.36155
h21deg4p0	4.54146	6.41711
h21deg4p0	4.58078	6.47267
h21deg4p0	4.6201	6.52823
h21deg4p0	4.65942	6.58379
h21deg4p0	4.69874	6.63935
h21deg4p0	4.73806	6.69491
h21deg4p0	4.77738	6.75047
h21deg5p1	4.53677	6.41048
h21deg5p1	4.58689	6.48131
h21deg5p1	4.63702	6.55214
h21deg5p1	4.68716	6.62298
h21deg5p1	4.73729	6.69381
h21deg5p1	4.78742	6.76465
h21deg5p1	4.83754	6.83548
h21deg5p1	4.88768	6.90632
h21deg5p1	4.93781	6.97715
h21deg5p1	4.98794	7.04798
h21deg5p1	5.03806	7.11882
h21deg5p1	5.08819	7.18965
h21deg5p1	5.13832	7.26048
h21deg5p1	5.18845	7.33132
h21deg5p1	5.23858	7.40215
h21deg5p1	5.28871	7.47299
h21deg5p1	5.33885	7.54382
h21deg5p1	5.38898	7.61466
h21deg5p1	5.43911	7.68549
h21deg5p1	5.48923	7.75632
h21deg5p1	5.53937	7.82716
h21deg5p1	5.5895	7.89799
h21deg5p1	5.63963	7.96883
h21deg5p1	5.68975	8.03966
h21deg5p1	5.73988	8.11049
h21deg5p1	5.79001	8.18133
h21deg5p1	5.84014	8.25216
h21deg2p7	2.40187	3.39386
h21deg2p7	2.42841	3.43136
h21deg2p7	2.45495	3.46886
h21deg2p7	2.48149	3.50636
h21deg2p7	2.50803	3.54386
h21deg2p7	2.53457	3.58136
h21deg2p7	2.56111	3.61886
h21deg2p7	2.58765	3.65637
h21deg2p7	2.61419	3.69387
h21deg2p7	2.64073	3.73137
h21deg2p7	2.66727	3.76887
h21deg2p7	2.69381	3.80637
h21deg2p7	2.72035	3.84387
h21deg2p7	2.74689	3.88137
h21deg2p7	2.77343	3.91887
h21deg2p7	2.79997	3.95637
h21deg2p7	2.82651	3.99388
h21deg2p7	2.85305	4.03138
h21deg2p7	2.87959	4.06888
h21deg2p7	2.90613	4.10638
h21deg2p7	2.93267	4.14388
h21deg2p7	2.95921	4.18138
h21deg2p7	2.98575	4.21888
h21deg2p7	3.01229	4.25638
h21deg2p7	3.03883	4.29389
h21deg2p7	3.06537	4.33139
h21deg2p7	3.09191	4.36889
h21deg2p7	3.11845	4.40639
h21deg2p7	3.14499	4.44389
h21deg2p7	3.17153	4.48139
h21deg2p7	3.19807	4.51889
h21deg2p7	3.22461	4.55639
h21deg3p3	2.93582	4.14833
h21deg3p3	2.96826	4.19417
h21deg3p3	3.0007	4.24001
h21deg3p3	3.03314	4.28585
h21deg3p3	3.06558	4.33168
h21deg3p3	3.09802	4.37752
h21deg3p3	3.13046	4.42336
h21deg3p3	3.1629	4.4692
h21deg3p3	3.19534	4.51504
h21deg3p3	3.22778	4.56087
h21deg3p3	3.26022	4.60671
h21deg3p3	3.29266	4.65255
h21deg3p3	3.3251	4.69839
h21deg3p3	3.35754	4.74422
h21deg3p3	3.38998	4.79006
h21deg3p3	3.42242	4.8359
h21deg3p3	3.45486	4.88174
h21deg3p3	3.4873	4.92758
h21deg3p3	3.51974	4.97341
h21deg3p3	3.55218	5.01925
h21deg3p3	3.58462	5.06509
h21deg3p3	3.61706	5.11093
h21deg3p3	3.6495	5.15677
h21deg3p3	3.68194	5.2026
h21deg3p3	3.71438	5.24844
h21deg3p3	3.74682	5.29428
h21deg3p3	3.77926	5.34012
h21deg3p3	3.8117	5.38596
h21deg3p3	3.84414	5.43179
h21deg3p3	3.87658	5.47763
h21deg3p3	3.90902	5.52347
h21deg3p3	3.94146	5.56931
h21deg4p0	3.55846	5.02813
h21deg4p0	3.59778	5.08369
h21deg4p0	3.6371	5.13924
h21deg4p0	3.67642	5.1948
h21deg4p0	3.71574	5.25036
h21deg4p0	3.75506	5.30592
h21deg4p0	3.79438	5.36148
h21deg4p0	3.8337	5.41704
h21deg4p0	3.87302	5.4726
h21deg4p0	3.91234	5.52816
h21deg4p0	3.95166	5.58372
h21deg4p0	3.99098	5.63928
h21deg4p0	4.0303	5.69484
h21deg4p0	4.06962	5.7504
h21deg4p0	4.10894	5.80596
h21deg4p0	4.14826	5.86152
h21deg4p0	4.18758	5.91708
h21deg4p0	4.2269	5.97264
h21deg4p0	4.26622	6.0282
h21deg4p0	4.30554	6.08375
h21deg4p0	4.34486	6.13931
h21deg4p0	4.38418	6.19487
h21deg4p0	4.4235	6.25043
h21deg4p0	4.46282	6.30599
h21deg4p0	4.50214	6.36155
h21deg4p0	4.54146	6.41711
h21deg4p0	4.58078	6.47267
h21deg4p0	4.6201	6.52823
h21deg4p0	4.65942	6.58379
h21deg4p0	4.69874	6.63935
h21deg4p0	4.73806	6.69491
h21deg4p0	4.77738	6.75047
h21deg5p1	4.53677	6.41048
h21deg5p1	4.58689	6.48131
h21deg5p1	4.63702	6.55214
h21deg5p1	4.68716	6.62298
h21deg5p1	4.73729	6.69381
h21deg5p1	4.78742	6.76465
h21deg5p1	4.83754	6.83548
h21deg5p1	4.88768	6.90632
h21deg5p1	4.93781	6.97715
h21deg5p1	4.98794	7.04798
h21deg5p1	5.03806	7.11882
h21deg5p1	5.08819	7.18965
h21deg5p1	5.13832	7.26048
h21deg5p1	5.18845	7.33132
h21deg5p1	5.23858	7.40215
h21deg5p1	5.28871	7.47299
h21deg5p1	5.33885	7.54382
h21deg5p1	5.38898	7.61466
h21deg5p1	5.43911	7.68549
h21deg5p1	5.48923	7.75632
h21deg5p1	5.53937	7.82716
h21deg5p1	5.5895	7.89799
h21deg5p1	5.63963	7.96883
h21deg5p1	5.68975	8.03966
h21deg5p1	5.73988	8.11049
h21deg5p1	5.79001	8.18133
h21deg5p1	5.84014	8.25216
h21deg3p3	3.10581	4.37205
h21deg3p3	3.13868	4.41831
h21deg3p3	3.17155	4.46458
h21deg3p3	3.20441	4.51084
h21deg3p3	3.23728	4.55711
h21deg3p3	3.27014	4.60337
h21deg3p3	3.30301	4.64964
h21deg3p3	3.33587	4.6959
h21deg3p3	3.36874	4.74217
h21deg3p3	3.40161	4.78843
h21deg3p3	3.43447	4.8347
h21deg3p3	3.46734	4.88096
h21deg3p3	3.5002	4.92723
h21deg3p3	3.53307	4.97349
h21deg3p3	3.56593	5.01976
h21deg4p0	3.76226	5.29613
h21deg4p0	3.80208	5.35217
h21deg4p0	3.84189	5.40822
h21deg4p0	3.8817	5.46426
h21deg4p0	3.92151	5.52031
h21deg4p0	3.96133	5.57635
h21deg4p0	4.00114	5.63239
h21deg4p0	4.04095	5.68844
h21deg4p0	4.08076	5.74448
h21deg4p0	4.12057	5.80052
h21deg4p0	4.16039	5.85657
h21deg4p0	4.2002	5.91261
h21deg4p0	4.24001	5.96866
h21deg4p0	4.27982	6.0247
h21deg4p0	4.31964	6.08074
h21deg4p5	4.22894	5.95307
h21deg4p5	4.27369	6.01606
h21deg4p5	4.31844	6.07906
h21deg4p5	4.36319	6.14205
h21deg4p5	4.40794	6.20505
h21deg4p5	4.45269	6.26804
h21deg4p5	4.49744	6.33104
h21deg4p5	4.54219	6.39403
h21deg4p5	4.58694	6.45703
h21deg4p5	4.63169	6.52002
h21deg4p5	4.67644	6.58302
h21deg4p5	4.7212	6.64602
h21deg4p5	4.76595	6.70901
h21deg4p5	4.8107	6.77201
h21deg4p5	4.85545	6.835
h21deg5p1	4.78417	6.73467
h21deg5p1	4.8348	6.80593
h21deg5p1	4.88542	6.8772
h21deg5p1	4.93605	6.94846
h21deg5p1	4.98668	7.01973
h21deg5p1	5.0373	7.091
h21deg5p1	5.08793	7.16226
h21deg5p1	5.13855	7.23353
h21deg5p1	5.18918	7.3048
h21deg5p1	5.23981	7.37606
h21deg5p1	5.29043	7.44733
h21deg5p1	5.34106	7.51859
h21deg5p1	5.39168	7.58986
h21deg5p1	5.44231	7.66113
h21deg5p1	5.49294	7.73239
h21deg5p7	5.3865	7.58256
h21deg5p7	5.4435	7.6628
h21deg5p7	5.5005	7.74304
h21deg5p7	5.5575	7.82328
h21deg5p7	5.6145	7.90352
h21deg5p7	5.6715	7.98376
h21deg5p7	5.7285	8.064
h21deg5p7	5.7855	8.14423
h21deg5p7	5.8425	8.22447
h21deg2p7	2.40187	3.39386
h21deg2p7	2.42841	3.43136
h21deg2p7	2.45495	3.46886
h21deg2p7	2.48149	3.50636
h21deg2p7	2.50803	3.54386
